Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/convert/50,14461,0,12,12.862122902952347,9.56960002076812,39.57219998119399,74.0,48.204617662276526,0.0,12,13,14,14,16,17,20,22,29,39,40
,Aggregated,14461,0,12,12.862122902952347,9.56960002076812,39.57219998119399,74.0,48.204617662276526,0.0,12,13,14,14,16,17,20,22,29,39,40
